theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,m_dot_kg_s,qdot_comb_w,qdot_loss_w,intake_area_m2,exhaust_area_m2
0.0,5.258496991767655e-05,100000.0,300.0,6.107429723307381e-05,0.1232040144443809,0.0,0.0,0.0002036233487652008,0.0010685853079605455
0.5,5.2597340564256244e-05,107539.50471117193,305.57153198141054,6.449663096763995e-05,0.03127527068343437,0.0,0.0,0.00021373629288855286,0.0010696276590520615
1.0,5.263445096764091e-05,109327.5617955446,306.7397197133689,6.536538848662424e-05,-0.004024244547827301,0.0,0.0,0.00022383926780369332,0.0010706633606119681
1.5,5.2696296519006063e-05,108864.90692972067,306.3244063942435,6.525360391585125e-05,0.005236683212282017,0.0,0.0,0.00023393180228199197,0.0010716924062016422
2.0,5.2782869537766406e-05,108903.57443854156,306.25393653442745,6.539906733841464e-05,0.002789702398165547,0.0,0.0,0.00024401342558178754,0.0010727147894238373
2.5,5.289415927275859e-05,108722.33420623909,306.0262929544057,6.547655907169703e-05,0.004955671612307561,0.0,0.0,0.000254083667470344,0.0010737305039227258
3.0,5.303015190389859e-05,108605.88346491374,305.84147472372894,6.561421661648335e-05,0.0056726001687325,0.0,0.0,0.00026414205824578366,0.0010747395433839363
3.5,5.3190830544311396e-05,108465.57660190182,305.6378601090739,6.577178884339259e-05,0.006781500911674024,0.0,0.0,0.00027418812875899476,0.001075741901534595
4.0,5.3376175242934454e-05,108326.01854856484,305.4334579707143,6.596016386871687e-05,0.007801452198821272,0.0,0.0,0.00028422141043551443,0.0010767375721433632
4.5,5.358616298759536e-05,108182.28395988561,305.22540737790024,6.617687087423968e-05,0.008834400452481801,0.0,0.0,0.0002942414352973838,0.0010777265490204764
5.0,5.3820767708561595e-05,108035.70008421951,305.015256437207,6.642227088680861e-05,0.00986266610860613,0.0,0.0,0.00030424773598497593,0.0010787088260177829
5.5,5.407996028256501e-05,107886.51324448363,304.80375546466905,6.66962338342699e-05,0.01088851607523953,0.0,0.0,0.00031423984577879423,0.0010796843970287823
6.0,5.4363708537300284e-05,107735.10565061326,304.5917193640697,6.699869261413766e-05,0.011911639780763324,0.0,0.0,0.00032421729862124195,0.0010806532559886626
6.5,5.467197725639597e-05,107581.83577945556,304.3799100531148,6.732957149693664e-05,0.012931995995386525,0.0,0.0,0.00033417962913836016,0.0010816153968743393
7.0,5.500472818486013e-05,107427.05260218919,304.1690439510914,6.76887936079196e-05,0.013949540221023814,0.0,0.0,0.00034412637266153373,0.001082570813704491
7.5,5.536192003500168e-05,107271.09353081333,303.959788483851,6.807628083628137e-05,0.014964239936301027,0.0,0.0,0.000354057065249165,0.0010835195005395992
8.0,5.5743508492822086e-05,107114.28357465634,303.7527601411723,6.849195416784529e-05,0.01597607150849384,0.0,0.0,0.0003639712437083129,0.001084461451481981
8.5,5.614944622488472e-05,106956.93458865027,303.5485232422796,6.893573393197012e-05,0.016985017916791037,0.0,0.0,0.00037386844561629784,0.0010853966606758313
9.0,5.657968288565699e-05,106799.34465143418,303.3475893896363,6.940753998521432e-05,0.017991066610376687,0.0,0.0,0.0003837482093422699,0.0010863251223072541
9.5,5.703416512532759e-05,106641.79756776853,303.1504175525702,6.990729183550256e-05,0.01899420753400119,0.0,0.0,0.0003936100740687408,0.0010872468306043022
