theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,m_dot_kg_s,qdot_comb_w,qdot_loss_w,intake_area_m2,exhaust_area_m2
0.0,5.258496991767655e-05,100000.0,300.0,6.107429723307381e-05,0.10000485221984792,0.0,0.0,0.0002036233487652008,0.0008673720275173136
0.5,5.2597340564256244e-05,106115.39668158529,304.56806146431285,6.385220979473626e-05,0.03520945299967307,0.0,0.0,0.00021373629288855286,0.0008681460951120319
1.0,5.263445096764091e-05,108155.6245704698,305.956449608471,6.483025015583828e-05,0.009659282245480252,0.0,0.0,0.00022383926780369332,0.0008689144060191755
1.5,5.2696296519006063e-05,108542.0512005364,306.1433402224542,6.509856355154607e-05,0.002353408708573125,0.0,0.0,0.00023393180228199197,0.000869676955144065
2.0,5.2782869537766406e-05,108407.31627409645,305.95840258428626,6.516393601567309e-05,0.0028430049760045303,0.0,0.0,0.00024401342558178754,0.0008704337374302277
2.5,5.289415927275859e-05,108234.45429966213,305.7440690041619,6.524290837611766e-05,0.003847589073698046,0.0,0.0,0.000254083667470344,0.0008711847478594307
3.0,5.303015190389859e-05,108055.89415030404,305.5239548339995,6.534978585038706e-05,0.004865008092062195,0.0,0.0,0.00026414205824578366,0.0008719299814517147
3.5,5.3190830544311396e-05,107873.02682539778,305.2997196686346,6.548492496405545e-05,0.005883978189988925,0.0,0.0,0.00027418812875899476,0.0008726694332654265
4.0,5.3376175242934454e-05,107686.54853705042,305.0725076664981,6.564836880266625e-05,0.006903714708145714,0.0,0.0,0.00028422141043551443,0.0008734030983972515
4.5,5.358616298759536e-05,107497.10467987607,304.84339826451713,6.58401386556703e-05,0.007923985103058716,0.0,0.0,0.0002942414352973838,0.0008741309719822476
5.0,5.3820767708561595e-05,107305.31960173218,304.6134218986908,6.606024935297749e-05,0.008944613685381068,0.0,0.0,0.00030424773598497593,0.0008748530491938756
5.5,5.407996028256501e-05,107111.79628161562,304.38355516700295,6.630871084423808e-05,0.009965440116616507,0.0,0.0,0.00031423984577879423,0.0008755693252440327
6.0,5.4363708537300284e-05,106917.11395261937,304.1547154288674,6.65855286252552e-05,0.010986312940168032,0.0,0.0,0.00032421729862124195,0.0008762797953830835
6.5,5.467197725639597e-05,106721.82583829753,303.9277563888152,6.68907039847043e-05,0.012007086824734621,0.0,0.0,0.00033417962913836016,0.0008769844548998914
7.0,5.500472818486013e-05,106526.45722824715,303.70346480225675,6.722423417428026e-05,0.01302762040972262,0.0,0.0,0.00034412637266153373,0.0008776832991218507
7.5,5.536192003500168e-05,106331.50391805984,303.482558279113,6.758611251899477e-05,0.01404777440419025,0.0,0.0,0.000354057065249165,0.0008783763234149165
8.0,5.5743508492822086e-05,106137.4310095057,303.2656841250679,6.797632847466672e-05,0.015067409916520058,0.0,0.0,0.0003639712437083129,0.000879063523183636
8.5,5.614944622488472e-05,105944.67205880278,303.0534191427853,6.83948676390145e-05,0.01608638702887031,0.0,0.0,0.00037386844561629784,0.0008797448938711791
9.0,5.657968288565699e-05,105753.6285563479,302.8462703036504,6.884171172314979e-05,0.01710456362743512,0.0,0.0,0.0003837482093422699,0.0008804204309593683
9.5,5.703416512532759e-05,105564.66971789642,302.6446761928107,6.931683849057855e-05,0.018121794490959152,0.0,0.0,0.0003936100740687408,0.0008810901299687086
10.0,5.7512836598097704e-05,105378.13256444882,302.44900912570387,6.982022167088298e-05,0.019137930631795814,0.0,0.0,0.0004034535798130773,0.0008817539864584175
10.5,5.801563797094676e-05,105194.32226604757,302.2595778328193,7.035183085509953e-05,0.02015281887622851,0.0,0.0,0.00041327826744895604,0.0008824119960264547
11.0,5.85425069328751e-05,105013.51272318215,302.0766306105271,7.091163137943921e-05,0.02116630166518526,0.0,0.0,0.00042308367872777856,0.0008830641543095503
11.5,5.909337820461753e-05,104835.94735861605,301.90035883919927,7.149958420347214e-05,0.022178217051733874,0.0,0.0,0.0004328693563000452,0.0008837104569832342
12.0,5.966818354883625e-05,104661.84009203802,301.7309007750504,7.211564578824253e-05,0.023188398869221846,0.0,0.0,0.00044263484373668676,0.0008843508997618664
12.5,6.0266851780785535e-05,104491.37647009281,301.56834552875483,7.275976797905424e-05,0.024196677041834022,0.0,0.0,0.0004523796855503536,0.0008849854783986615
13.0,6.088930877945359e-05,104324.71492487339,301.41273715157934,7.343189789688297e-05,0.025202878009326073,0.0,0.0,0.00046210342721666103,0.0008856141886857218
13.5,6.153547749917849e-05,104161.98813492346,301.2640787581164,7.413197784158647e-05,0.026206825238069255,0.0,0.0,0.0004718056151953892,0.000886237026454061
14.0,6.220527798174017e-05,104003.3044640691,301.122336623439,7.485994520931061e-05,0.02720833979213501,0.0,0.0,0.00048148579695163736,0.0008868539875736338
14.5,6.289862736892625e-05,103848.74945495419,300.9874442012859,7.561573242575881e-05,0.02820724094021196,0.0,0.0,0.0004911435209769315,0.0008874650679533642
15.0,6.36154399155755e-05,103698.38735590492,300.8593060185301,7.639926689632026e-05,0.029203346776947574,0.0,0.0,0.0005007783368102837,0.0008880702635411698
15.5,6.435562700309406e-05,103552.26266168962,300.7378014094893,7.721047097345769e-05,0.03019647483991443,0.0,0.0,0.0005103897950592027,0.0008886695703239915
16.0,6.511909715344848e-05,103410.40165073582,300.62278806143553,7.804926194123309e-05,0.031186442706761193,0.0,0.0,0.0005199774474206548,0.0008892629843278184
16.5,6.590575604363376e-05,103272.81390344615,300.51410534985365,7.891555201642091e-05,0.03217306855997115,0.0,0.0,0.000529540846701974,0.0008898505016177151
17.0,6.671550652061548e-05,103139.49378831877,300.4115774485132,7.9809248365309e-05,0.03315617170965999,0.0,0.0,0.00053907954684172,0.0008904321182978467
17.5,6.754824861674725e-05,103010.42190460507,300.31501620522255,8.073025313502178e-05,0.0341355730675812,0.0,0.0,0.0005485931029304839,0.0008910078305115062
18.0,6.840387956566405e-05,102885.56647218615,300.2242237791736,8.167846349801015e-05,0.03511109556808058,0.0,0.0,0.0005580810712316393,0.0008915776344411384
18.5,6.928229381864824e-05,102764.88466121619,300.1389950401441,8.265377170823461e-05,0.03608256453365143,0.0,0.0,0.0005675430092020403,0.0008921415263083663
19.0,7.018338306147088e-05,102648.32385577825,300.05911973342216,8.36560651675027e-05,0.0370498079849959,0.0,0.0,0.0005769784755126618,0.0008926995023740164
19.5,7.110703623170684e-05,102535.82284740177,299.9843844173118,8.468522650041926e-05,0.038012656896684496,0.0,0.0,0.0005863870300691853,0.000893251558938142
20.0,7.205313953652339e-05,102427.31295570634,299.9145741824171,8.574113363643826e-05,0.03897094540089502,0.0,0.0,0.0005957682340325248,0.0008937976923400491
20.5,7.302157647094209e-05,102322.71907470582,299.84947416370034,8.682365989757424e-05,0.039924510942633516,0.0,0.0,0.0006051216498392965,0.0008943378989583207
21.0,7.401222783657356e-05,102221.96064442239,299.7888708576249,8.793267409042517e-05,0.04087319439036702,0.0,0.0,0.0006144468412222274,0.0008948721752108396
21.5,7.502497176082389e-05,102124.95254840351,299.73255325753763,8.906804060126871e-05,0.04181684010655177,0.0,0.0,0.0006237433732305036,0.0008954005175548135
22.0,7.605968371657358e-05,102031.60593854099,299.68031382095586,9.022961949311737e-05,0.04275529598268755,0.0,0.0,0.0006330108122500584,0.0008959229224867978
22.5,7.711623654232681e-05,101941.82898925376,299.63194928258855,9.141726660374758e-05,0.043688413443489435,0.0,0.0,0.0006422487260237957,0.0008964393865427187
23.0,7.819450046283086e-05,101855.52758361271,299.5872613268174,9.26308336438445e-05,0.044616047424897776,0.0,0.0,0.0006514566836717535,0.0008969499062978966
23.5,7.929434311016589e-05,101772.60593441108,299.54605713309576,9.387016829453611e-05,0.04553805633013088,0.0,0.0,0.0006606342557111995,0.000897454478367069
24.0,8.041562954530247e-05,101692.96714346713,299.5081498072068,9.513511430370641e-05,0.04645430196802493,0.0,0.0,0.0006697810140766646,0.0008979530994044117
24.5,8.155822228012767e-05,101616.5137026633,299.4733587107571,9.642551158059599e-05,0.047364649477379867,0.0,0.0,0.0006788965321399078,0.0008984457661035629
25.0,8.272198129993596e-05,101543.14794034978,299.4415097005799,9.774119628830099e-05,0.048268967240654596,0.0,0.0,0.0006879803847298166,0.0008989324751976429
25.5,8.390676408638858e-05,101472.77241677906,299.4124352889612,9.908200093387472e-05,0.04916712679025964,0.0,0.0,0.0006970321481522362,0.0008994132234592785
26.0,8.511242564093429e-05,101405.29027225763,299.38597473483077,0.00010044775445582638,0.050059002709842135,0.0,0.0,0.0007060514002097338,0.0008998880077006213
26.5,8.633881850869459e-05,101340.60553161753,299.36197407523343,0.00010183828230887755,0.05094447253313723,0.0,0.0,0.0007150377202212896,0.0009003568247733714
27.0,8.75857928028116e-05,101278.62336853969,299.340286105621,0.00010325340654590914,0.051823416642181125,0.0,0.0,0.0007239906890419181,0.000900819671568797
27.5,8.885319622925212e-05,101219.25033312954,299.32077031670025,0.00010469294589708084,0.05269571816646548,0.0,0.0,0.0007329098890822204,0.000901276545017755
28.0,9.014087411207547e-05,101162.39454598204,299.3032927948197,0.00010615671584614933,0.053561262884699805,0.0,0.0,0.0007417949043278579,0.0009017274420907119
28.5,9.144866941915311e-05,101107.96586184224,299.2877260921609,0.00010764452870405765,0.05441993912981489,0.0,0.0,0.0007506453203589606,0.0009021723597977637
29.0,9.277642278834617e-05,101055.87600575911,299.27394907231775,0.00010915619367988585,0.0552716376983586,0.0,0.0,0.0007594607243694524,0.0009026112951886555
29.5,9.412397255413469e-05,101006.03868446601,299.2618467361942,0.00011069151694928469,0.056116251764865906,0.0,0.0,0.0007682407051863093,0.0009030442453528013
30.0,9.549115477469727e-05,100958.36967554125,299.2513100325897,0.00011225030172053097,0.05695367680142302,0.0,0.0,0.0007769848532887345,0.0009034712074193031
30.5,9.687780325943981e-05,100912.78689669975,299.24223565726123,0.00011383234829834827,0.05778381050306291,0.0,0.0,0.0007856927608272614,0.0009038921785569701
31.0,9.828374959697052e-05,100869.21045740762,299.23452584378055,0.00011543745414565557,0.05860655271889746,0.0,0.0,0.0007943640216427763,0.0009043071559743374
31.5,9.970882318351703e-05,100827.56269482989,299.2280881490473,0.00011706541394340273,0.05942180538899777,0.0,0.0,0.0008029982312854622,0.0009047161369196848
32.0,0.00010115285125178572,100787.7681959417,299.22283523589505,0.00011871601964865267,0.060229472487260446,0.0,0.0,0.0008115949870336636,0.0009051191186810545
32.5,0.00010261565890025928,100749.75380749586,299.2186846548867,0.00012038906055107657,0.061029459969813536,0.0,0.0,0.000820153887912671,0.0009055160985862691
33.0,0.00010409706912292832,100713.44863536932,299.2155586270444,0.00012208432332801584,0.06182167572897695,0.0,0.0,0.0008286745347134225,0.0009059070740029502
33.5,0.00010559690283945479,100678.78403467876,299.2133838289826,0.0001238015920982652,0.06260602955248161,0.0,0.0,0.0008371565300111248,0.0009062920423385349
34.0,0.00010711497892576589,100645.6935919172,299.21209118165285,0.00012554064847472302,0.06338243308777047,0.0,0.0,0.0008455994781837896,0.0009066710010402933
34.5,0.00010865111424507073,100614.11310024741,299.21161564368015,0.00012730127161604998,0.06415079981093802,0.0,0.0,0.000854002985430686,0.0009070439475953456
35.0,0.00011020512367929981,100583.98052896149,299.2118960100718,0.00012908323827746492,0.06491104500023775,0.0,0.0,0.0008623666597907104,0.0009074108795306785
35.5,0.000111776820160963,100555.23598802269,299.2128747169176,0.00013088632286080486,0.06566308571368937,0.0,0.0,0.0008706901111606651,0.0009077717944131617
36.0,0.0001133660147054195,100527.82168850221,299.2144976525366,0.0001327102974639629,0.0664068407704895,0.0,0.0,0.0008789729513134574,0.0009081266898495643
36.5,0.00011497251644355785,100501.68189963418,299.2167139754101,0.00013455493192980985,0.06714223073599206,0.0,0.0,0.0008872147939162046,0.0009084755634865702
37.0,0.00011659613265488213,100476.76290313125,299.2194759391202,0.0001364199938946985,0.06786917791000466,0.0,0.0,0.0008954152545482553,0.0009088184130107937
37.5,0.0001182366688009979,100453.01294533609,299.2227387244313,0.00013830524883664307,0.06858760631793225,0.0,0.0,0.0009035739507191195,0.0009091552361487956
38.0,0.00011989392855949412,100430.3821877071,299.2264602785642,0.0001402104601232523,0.0692974417046357,0.0,0.0,0.0009116905018863076,0.0009094860306670975
38.5,0.00012156771385821536,100408.82265608333,299.23060116164976,0.0001421353890594922,0.06999861153067408,0.0,0.0,0.0009197645294730825,0.0009098107943721965
39.0,0.00012325782490992212,100388.28818911138,299.2351244002922,0.00014407979493534425,0.07069104497088055,0.0,0.0,0.0009277956568861143,0.0009101295251105809
39.5,0.0001249640602473276,100368.73438618657,299.2399953481413,0.00014604343507342425,0.07137467291443132,0.0,0.0,0.0009357835095330482,0.0009104422207687429
