theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,m_dot_kg_s,qdot_comb_w,qdot_loss_w,intake_area_m2,exhaust_area_m2
0.0,5.258496991767655e-05,100000.0,300.0,6.107429723307381e-05,0.12500606527480992,0.0,0.0,0.00018742307972854545,0.001084215034396642
0.5,5.2597340564256244e-05,107650.1257341425,305.64864031574325,6.454668793515187e-05,0.03313426545392194,0.0,0.0,0.00019674109302331657,0.0010851826188900398
1.0,5.263445096764091e-05,109554.34422566794,306.8985280351375,6.546708419776081e-05,-0.007262977260655737,0.0,0.0,0.00020605133931660984,0.0010861430075239694
1.5,5.2696296519006063e-05,108895.33272636164,306.35494388261077,6.526533482940927e-05,0.00826572256567313,0.0,0.0,0.00021535345105584333,0.0010870961939300815
2.0,5.2782869537766406e-05,109122.86115490634,306.42141077929773,6.54949382340113e-05,0.001597341072999768,0.0,0.0,0.00022464706100957334,0.0010880421717877843
2.5,5.289415927275859e-05,108870.45601667358,306.1498189380465,6.55393088193724e-05,0.005810671013168844,0.0,0.0,0.00023393180228199197,0.0010889809348242885
3.0,5.303015190389859e-05,108808.23339251573,306.0078931531056,6.570071634751598e-05,0.005643284116250279,0.0,0.0,0.00024320730832741195,0.0010899124768146435
3.5,5.3190830544311396e-05,108667.47786587171,305.80838666694234,6.585747423963404e-05,0.007057552308549209,0.0,0.0,0.00025247321296473685,0.001090836791581783
4.0,5.3376175242934454e-05,108545.71507559126,305.62036422887684,6.605351735931596e-05,0.007997359759291237,0.0,0.0,0.0002617291503919172,0.0010917538729965646
4.5,5.358616298759536e-05,108414.38953316455,305.4243022956079,6.62756662415185e-05,0.009053376059848364,0.0,0.0,0.0002709747552003922,0.0010926637149778094
5.0,5.3820767708561595e-05,108281.10140813373,305.2261541042951,6.652714890984762e-05,0.010081747013143426,0.0,0.0,0.0002802096623895149,0.0010935663114923443
5.5,5.407996028256501e-05,108144.67321571322,305.0256395699624,6.680719743799049e-05,0.01111102852051752,0.0,0.0,0.0002894335073809624,0.001094461656555041
6.0,5.4363708537300284e-05,108005.6686601585,304.82369081277426,6.711583711911598e-05,0.01213652493814979,0.0,0.0,0.000298645926033128,0.0010953497442288541
6.5,5.467197725639597e-05,107864.36663573798,304.6210083100332,6.745296281184237e-05,0.01315874389855419,0.0,0.0,0.00030784655465549755,0.0010962305686248641
7.0,5.500472818486013e-05,107721.0748072047,304.4182816020529,6.78184834756911e-05,0.014177579575170532,0.0,0.0,0.0003170350300230069,0.0010971041239023133
7.5,5.536192003500168e-05,107576.09062086516,304.2161589309302,6.821230513055695e-05,0.015192996670643076,0.0,0.0,0.0003262109893903821,0.0010979704042686457
8.0,5.5743508492822086e-05,107429.70388242336,304.0152472544277,6.863433281585259e-05,0.01620496828763452,0.0,0.0,0.00033537407050645857,0.0010988294039795449
8.5,5.614944622488472e-05,107282.19581269874,303.81611030123184,6.908447082384244e-05,0.01721347737743803,0.0,0.0,0.000344523911628484,0.001099681117338974
